0 ) bmw -> 0 | bmw
1 ) bmw -> 1 | bmw
2 ) bmw -> 2 | bmw
3 ) bmw -> 3 | bmw
0 ) volkswagen -> 0 | volkswagen
1 ) volkswagen -> 1 | volkswagen
2 ) volkswagen -> 2 | volkswagen
3 ) volkswagen -> 3 | volkswagen
0 ) audi -> 0 | audi
1 ) audi -> 1 | audi
2 ) audi -> 2 | audi
3 ) audi -> 3 | audi
0 ) volkswagen -> 0 | volkswagen
1 ) volkswagen -> 1 | volkswagen
2 ) volkswagen -> 2 | volkswagen
3 ) volkswagen -> 3 | volkswagen
0 ) bmw -> 0 | bmw
1 ) bmw -> 1 | bmw
2 ) bmw -> 2 | bmw
3 ) bmw -> 3 | bmw
0 ) audi -> 0 | audi
1 ) audi -> 1 | audi
2 ) audi -> 2 | audi
3 ) audi -> 3 | audi
0 ) bmw -> 0 | bmw
1 ) bmw -> 1 | bmw
2 ) bmw -> 2 | bmw
3 ) bmw -> 3 | bmw
0 ) audi -> 0 | audi
1 ) audi -> 1 | audi
2 ) audi -> 2 | audi
3 ) audi -> 3 | audi
0 ) audi -> 0 | audi
1 ) audi -> 1 | audi
2 ) audi -> 2 | audi
3 ) audi -> 3 | audi
